id,title,location,date,time,description,imageUrl,hasUrl,url,haslocatioUrl,locationURL
29,Sugar Vibe,AdventHealth Waterside Stage,08/09/24,"7:00 PM, 8:00PM, 9:00 PM, 10:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/dam/disney-springs/entertainment/marketplace-stage/marketplace-stage-guitar-1x1.jpg?1675198651531,,,,
20,Disney Springs Flavors of Florida presented by CORKCICLE,Throughout Disney Springs,"July 1 through August 11, 2024",Open to Close,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-world/campaign/summer/0927ZO_0996KP_R1_mm-1x1.jpg?2023-11-20T17:56:50+00:00,,,,
31,AJI Azul test,Orange Stage test,08/09/24,"6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/experience/0905ZT_0920cr-JJS-1x1.jpg?2024-05-21T18:58:51+00:00,,,,
32,Springs in Motion presented by Florida Blue,Exposition Park,08/31/24,Between 4:00 PM and 8:00 PM,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/Nicholas-Marks-Flamenco-Guitarist-1x1.jpg?2022-01-05T21:42:49+00:00,,,,
33,Ren-C,Waterview Park,08/09/24,"6:30 PM, 7:30 PM, 8:30 PM, 9:30 PM","sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/entertainment/live-performances/Drey-C-1-1x1.jpg?2024-07-02T13:38:06+00:00,,,,
34,Sugar Vibe,AdventHealth Waterside Stage,08/09/24,"7:00 PM, 8:00PM, 9:00 PM, 10:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/dam/disney-springs/entertainment/marketplace-stage/marketplace-stage-guitar-1x1.jpg?1675198651531,,,,
35,Disney Springs Flavors of Florida presented by CORKCICLE,Throughout Disney Springs,"July 1 through August 11, 2024",Open to Close,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-world/campaign/summer/0927ZO_0996KP_R1_mm-1x1.jpg?2023-11-20T17:56:50+00:00,,,,
36,AJI Azul test,Orange Stage test,08/09/24,"6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/experience/0905ZT_0920cr-JJS-1x1.jpg?2024-05-21T18:58:51+00:00,,,,
37,Springs in Motion presented by Florida Blue,Exposition Park,08/31/24,Between 4:00 PM and 8:00 PM,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/Nicholas-Marks-Flamenco-Guitarist-1x1.jpg?2022-01-05T21:42:49+00:00,,,,
38,Ren-C,Waterview Park,08/09/24,"6:30 PM, 7:30 PM, 8:30 PM, 9:30 PM","sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/entertainment/live-performances/Drey-C-1-1x1.jpg?2024-07-02T13:38:06+00:00,,,,
39,Sugar Vibe,AdventHealth Waterside Stage,08/09/24,"7:00 PM, 8:00PM, 9:00 PM, 10:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/dam/disney-springs/entertainment/marketplace-stage/marketplace-stage-guitar-1x1.jpg?1675198651531,,,,
40,Disney Springs Flavors of Florida presented by CORKCICLE,Throughout Disney Springs,"July 1 through August 11, 2024",Open to Close,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-world/campaign/summer/0927ZO_0996KP_R1_mm-1x1.jpg?2023-11-20T17:56:50+00:00,,,,
41,AJI Azul test,Orange Stage test,08/09/24,"6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/experience/0905ZT_0920cr-JJS-1x1.jpg?2024-05-21T18:58:51+00:00,,,,
42,Springs in Motion presented by Florida Blue,Exposition Park,08/31/24,Between 4:00 PM and 8:00 PM,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/Nicholas-Marks-Flamenco-Guitarist-1x1.jpg?2022-01-05T21:42:49+00:00,,,,
43,Ren-C,Waterview Park,08/09/24,"6:30 PM, 7:30 PM, 8:30 PM, 9:30 PM","sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/entertainment/live-performances/Drey-C-1-1x1.jpg?2024-07-02T13:38:06+00:00,,,,
44,Sugar Vibe,AdventHealth Waterside Stage,08/09/24,"7:00 PM, 8:00PM, 9:00 PM, 10:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/dam/disney-springs/entertainment/marketplace-stage/marketplace-stage-guitar-1x1.jpg?1675198651531,,,,
45,Disney Springs Flavors of Florida presented by CORKCICLE,Throughout Disney Springs,"July 1 through August 11, 2024",Open to Close,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-world/campaign/summer/0927ZO_0996KP_R1_mm-1x1.jpg?2023-11-20T17:56:50+00:00,,,,
46,AJI Azul test,Orange Stage test,08/09/24,"6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/experience/0905ZT_0920cr-JJS-1x1.jpg?2024-05-21T18:58:51+00:00,,,,
47,Springs in Motion presented by Florida Blue,Exposition Park,08/31/24,Between 4:00 PM and 8:00 PM,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/Nicholas-Marks-Flamenco-Guitarist-1x1.jpg?2022-01-05T21:42:49+00:00,,,,
48,Ren-C,Waterview Park,08/09/24,"6:30 PM, 7:30 PM, 8:30 PM, 9:30 PM","sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/entertainment/live-performances/Drey-C-1-1x1.jpg?2024-07-02T13:38:06+00:00,,,,
49,Sugar Vibe,AdventHealth Waterside Stage,08/09/24,"7:00 PM, 8:00PM, 9:00 PM, 10:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/dam/disney-springs/entertainment/marketplace-stage/marketplace-stage-guitar-1x1.jpg?1675198651531,,,,
50,Disney Springs Flavors of Florida presented by CORKCICLE,Throughout Disney Springs,"July 1 through August 11, 2024",Open to Close,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-world/campaign/summer/0927ZO_0996KP_R1_mm-1x1.jpg?2023-11-20T17:56:50+00:00,,,,
51,AJI Azul test,Orange Stage test,08/09/24,"6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/experience/0905ZT_0920cr-JJS-1x1.jpg?2024-05-21T18:58:51+00:00,,,,
52,Springs in Motion presented by Florida Blue,Exposition Park,08/31/24,Between 4:00 PM and 8:00 PM,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/Nicholas-Marks-Flamenco-Guitarist-1x1.jpg?2022-01-05T21:42:49+00:00,,,,
53,Ren-C,Waterview Park,08/09/24,"6:30 PM, 7:30 PM, 8:30 PM, 9:30 PM","sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/entertainment/live-performances/Drey-C-1-1x1.jpg?2024-07-02T13:38:06+00:00,,,,
54,Sugar Vibe,AdventHealth Waterside Stage,08/09/24,"7:00 PM, 8:00PM, 9:00 PM, 10:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/dam/disney-springs/entertainment/marketplace-stage/marketplace-stage-guitar-1x1.jpg?1675198651531,,,,
55,Disney Springs Flavors of Florida presented by CORKCICLE,Throughout Disney Springs,"July 1 through August 11, 2024",Open to Close,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/134/134/75/vision-dam/digital/parks-platform/parks-global-assets/disney-world/campaign/summer/0927ZO_0996KP_R1_mm-1x1.jpg?2023-11-20T17:56:50+00:00,,,,
56,AJI Azul test,Orange Stage test,08/09/24,"6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1080/1080/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/experience/0905ZT_0920cr-JJS-1x1.jpg?2024-05-21T18:58:51+00:00,,,,
